ID,Check-in,Check-out,Noches,Adultos,Niños,Habitación,Tipo,Habitación_ID,Precio,Moneda,Fuente,URL_Airbnb,Teléfono
29876,"2026-01-09","2026-01-13",4,2,1,"N/A","N/A",319,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM5RBKKYNA","8548"
29870,"2026-03-01","2026-03-04",3,2,1,"N/A","N/A",319,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMQZ2ZDRS5","3328"
29850,"2026-01-02","2026-01-14",12,4,3,"N/A","N/A",334,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMFMEN8PRC","8430"
29837,"2026-02-23","2026-03-02",9,2,1,"N/A","N/A",322,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM4CDHKCBF","0678"
29835,"2026-01-29","2026-02-02",3,3,0,"N/A","N/A",316,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMXN3W32YW","1651"
29833,"2025-12-01","2025-12-08",7,2,0,"N/A","N/A",12400,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM2BARQWAS","2252"
29831,"2025-12-01","2025-12-08",7,4,3,"N/A","N/A",309,0,"COP","Airbnb","",""
29815,"2025-11-28","2025-12-01",3,2,1,"N/A","N/A",319,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMWZEMDJ5W","8742"
29793,"2025-10-22","2025-10-26",4,2,1,"N/A","N/A",322,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM29KXWAR8","7880"
29789,"2026-01-01","2026-01-02",1,4,3,"N/A","N/A",334,0,"COP","Airbnb","",""
29791,"2026-04-16","2026-10-19",33,4,3,"N/A","N/A",334,0,"COP","Airbnb","",""
29785,"2026-01-13","2026-01-17",4,2,1,"N/A","N/A",322,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM4CJCDQEF","0759"
29735,"2026-01-23","2026-01-26",3,3,0,"N/A","N/A",316,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMCTBT35AA","7226"
29717,"2025-12-03","2025-12-14",11,4,3,"N/A","N/A",328,0,"COP","Airbnb","",""
